07-05-2025 22:23:07.457 [background-preinit] [-] INFO  user-service-o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
07-05-2025 22:23:07.499 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarting - Starting UserRepositoryTest using Java 22.0.2 with PID 36139 (started by anshulbharadwaj in /Users/anshulbharadwaj/SpringBootProject/linkedin/user-service)
07-05-2025 22:23:07.500 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStartupProfileInfo - The following 1 profile is active: "dev"
07-05-2025 22:23:07.691 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
07-05-2025 22:23:07.771 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 76 ms. Found 1 JPA repository interface.
07-05-2025 22:23:07.796 [main] [-] INFO  user-service-o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor.process - Replacing 'dataSource' DataSource bean with embedded version
07-05-2025 22:23:07.862 [main] [-] INFO  user-service-o.s.j.d.e.EmbeddedDatabaseFactory.initDatabase - Starting embedded database: url='jdbc:h2:mem:d08c9c34-6be1-4d04-a476-1cfbb347d66e;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
07-05-2025 22:23:07.969 [main] [-] INFO  user-service-o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
07-05-2025 22:23:08.000 [main] [-] INFO  user-service-org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.3.Final
07-05-2025 22:23:08.015 [main] [-] INFO  user-service-o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
07-05-2025 22:23:08.133 [main] [-] INFO  user-service-o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
07-05-2025 22:23:08.508 [main] [-] INFO  user-service-o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
07-05-2025 22:23:08.530 [main] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:23:08.704 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarted - Started UserRepositoryTest in 1.516 seconds (process running for 2.02)
07-05-2025 22:23:09.140 [SpringApplicationShutdownHook] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:42:02.258 [background-preinit] [-] INFO  user-service-o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
07-05-2025 22:42:02.297 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarting - Starting UserRepositoryTest using Java 22.0.2 with PID 42043 (started by anshulbharadwaj in /Users/anshulbharadwaj/SpringBootProject/linkedin/user-service)
07-05-2025 22:42:02.297 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStartupProfileInfo - The following 1 profile is active: "dev"
07-05-2025 22:42:02.452 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
07-05-2025 22:42:02.519 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 64 ms. Found 1 JPA repository interface.
07-05-2025 22:42:02.541 [main] [-] INFO  user-service-o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor.process - Replacing 'dataSource' DataSource bean with embedded version
07-05-2025 22:42:02.603 [main] [-] INFO  user-service-o.s.j.d.e.EmbeddedDatabaseFactory.initDatabase - Starting embedded database: url='jdbc:h2:mem:2c8abe05-2e0d-47d2-a339-f12bb1823122;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
07-05-2025 22:42:02.706 [main] [-] INFO  user-service-o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
07-05-2025 22:42:02.733 [main] [-] INFO  user-service-org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.3.Final
07-05-2025 22:42:02.747 [main] [-] INFO  user-service-o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
07-05-2025 22:42:02.859 [main] [-] INFO  user-service-o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
07-05-2025 22:42:03.220 [main] [-] INFO  user-service-o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
07-05-2025 22:42:03.242 [main] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:42:03.386 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarted - Started UserRepositoryTest in 1.36 seconds (process running for 1.868)
07-05-2025 22:42:03.715 [SpringApplicationShutdownHook] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:43:17.983 [background-preinit] [-] INFO  user-service-o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
